Player,Salary
Jarrett Culver,"$6,395,160"
Khem Birch,"$6,350,000"
Collin Sexton,"$6,349,671"
Onyeka Okongwu,"$6,104,280"
Justin Holiday,"$6,006,420"
Josh Giddey,"$5,988,000"
Rudy Gay,"$5,890,000"
Patty Mills,"$5,890,000"
Dennis Schröder,"$5,890,000"
Kevin Knox,"$5,845,978"
Coby White,"$5,837,760"
Timofey Mozgov,"$5,573,334"
Killian Hayes,"$5,572,680"
Mikal Bridges,"$5,557,725"
Shai Gilgeous-Alexander,"$5,495,532"
Jonathan Kuminga,"$5,466,360"
Miles Bridges,"$5,421,493"
Jaxson Hayes,"$5,348,280"
Pat Connaughton,"$5,333,333"
Michael Porter Jr.,"$5,258,735"
Ryan Anderson,"$5,214,584"
Hamidou Diallo,"$5,200,000"
Kevon Looney,"$5,178,572"
Troy Brown Jr.,"$5,170,564"
Obi Toppin,"$5,105,160"
Franz Wagner,"$5,007,840"
Josh Jackson,"$5,005,350"
JaVale McGee,"$5,000,000"
Robin Lopez,"$5,000,000"
Kendrick Nunn,"$5,000,000"
Lou Williams,"$5,000,000"
Luol Deng,"$4,990,000"
Rui Hachimura,"$4,916,160"
Garrett Temple,"$4,910,000"
Cory Joseph,"$7,310,000"
Taj Gibson,"$4,910,000"
Torrey Craig,"$4,878,049"
Rajon Rondo,"$2,641,691"
Bruce Brown,"$4,736,102"
Deni Avdija,"$4,692,840"
Donte DiVincenzo,"$4,675,830"
Cam Reddish,"$4,670,160"
David Nwaba,"$4,650,000"
Furkan Korkmaz,"$4,629,630"
Davion Mitchell,"$4,603,320"
Bryn Forbes,"$4,500,000"
Jeff Green,"$4,500,000"
Ish Smith,"$4,500,000"
Jalen Smith,"$4,458,000"
Lonnie Walker IV,"$4,447,896"
Cameron Johnson,"$4,437,000"
Ziaire Williams,"$4,373,160"
Maurice Harkless,"$4,347,600"
Bobby Portis,"$4,347,600"
Jarred Vanderbilt,"$4,259,259"
Kevin Huerter,"$4,253,357"
Devin Vassell,"$4,235,160"
P.J. Washington,"$4,215,120"
Willie Cauley-Stein,"$4,200,000"
James Bouknight,"$4,154,400"
Josh Okogie,"$4,087,904"
Grayson Allen,"$4,054,695"
Tyrese Haliburton,"$4,023,600"
Tyler Herro,"$4,004,280"
Terence Davis,"$4,000,000"
George Hill,"$4,000,000"
Dorian Finney-Smith,"$4,000,000"
Gorgui Dieng,"$4,000,000"
Aaron Holiday,"$3,980,551"
Joshua Primo,"$3,946,800"
Jake Layman,"$3,940,184"
Anfernee Simons,"$3,938,818"
Justise Winslow,"$3,902,439"
Jevon Carter,"$3,833,333"
Kira Lewis Jr.,"$3,822,240"
Romeo Langford,"$3,804,360"
Facundo Campazzo,"$3,804,150"
Landry Shamet,"$3,768,342"
Chris Duarte,"$3,749,520"
Alex Len,"$3,731,707"
Robert Williams,"$3,661,976"
Aaron Nesmith,"$3,631,200"
Sekou Doumbouya,
Moses Moody,"$3,562,080"
Boban Marjanović,"$3,500,000"
Mike Muscala,"$3,500,000"
Cole Anthony,"$3,449,400"
Corey Kispert,"$3,383,640"
Trey Burke,"$3,333,333"
Georges Niang,"$3,300,000"
Chuma Okeke,"$3,277,080"
Isaiah Stewart,"$3,277,080"
Nickeil Alexander-Walker,"$3,261,480"
Alperen Şengün,"$3,214,680"
Nicolas Batum,"$12,213,507"
Jon Leuer,"$3,169,347"
Aleksej Pokusevski,"$3,113,160"
Goga Bitadze,"$3,098,400"
Trey Murphy III,"$3,053,760"
Sterling Brown,"$3,000,000"
Michael Carter-Williams,"$3,000,000"
Frank Jackson,"$3,000,000"
Luka Šamanić,
Josh Green,"$2,957,520"
Tre Mann,"$2,901,240"
Dewayne Dedmon,"$5,256,308"
Andrew Nicholson,"$2,844,429"
Matisse Thybulle,"$2,840,160"
Saddiq Bey,"$2,824,320"
Kai Jones,"$2,770,560"
Brandon Clarke,"$2,726,880"
Precious Achiuwa,"$2,711,280"
Jalen Johnson,"$2,659,560"
E'Twaun Moore,"$2,641,691"
Udonis Haslem,"$2,641,691"
Markieff Morris,"$2,641,691"
DeAndre Jordan,"$10,517,224"
Dwight Howard,"$2,641,691"
Wayne Ellington,"$2,641,691"
Trevor Ariza,"$2,641,691"
Carmelo Anthony,"$2,641,691"
Andre Iguodala,"$2,641,691"
Rajon Rondo,"$2,641,691"
Paul Millsap,"$2,641,691"
LaMarcus Aldridge,"$2,641,691"
Blake Griffin,"$32,405,817"
James Johnson,"$2,641,691"
Enes Freedom,"$2,641,691"
Avery Bradley,"$2,641,691"
Ed Davis,"$2,641,691"
Grant Williams,"$2,617,800"
Tyrese Maxey,"$2,602,920"
Keon Johnson,"$2,553,120"
Darius Bazley,"$2,513,040"
Trey Lyles,"$2,500,000"
Zeke Nnaji,"$2,498,760"
Isaiah Jackson,"$2,451,120"
Ty Jerome,"$2,412,840"
Hassan Whiteside,"$2,401,537"
Andre Drummond,"$2,401,537"
Kent Bazemore,"$2,401,537"
Austin Rivers,"$2,401,537"
Cory Joseph,"$7,310,000"
Tony Snell,"$2,389,641"
Cody Zeller,"$2,389,641"
Ben McLemore,"$2,389,641"
Victor Oladipo,"$2,389,641"
Dewayne Dedmon,"$5,256,308"
Otto Porter Jr.,"$2,389,641"
Solomon Hill,"$2,389,641"
Leandro Bolmaro,"$2,353,320"
Usman Garuba,"$2,353,320"
Willy Hernangómez,"$2,327,220"
Nassir Little,"$2,316,240"
R.J. Hampton,"$2,303,040"
Josh Christopher,"$2,259,240"
Monta Ellis,"$2,245,400"
Elfrid Payton,"$2,239,544"
Rodney Hood,"$2,239,544"
Dylan Windler,"$2,239,200"
Immanuel Quickley,"$2,210,640"
John Konchar,"$2,197,674"
Quentin Grimes,"$2,168,760"
Jordan Poole,"$2,161,440"
Bol Bol,"$2,161,152"
Keldon Johnson,"$2,145,720"
Payton Pritchard,"$2,137,440"
Kevin Porter Jr.,"$2,130,240"
Bones Hyland,"$2,096,880"
Raul Neto,"$2,089,448"
Frank Kaminsky,"$2,089,448"
Nemanja Bjelica,"$2,089,448"
Udoka Azubuike,"$2,075,880"
Jaden McDaniels,"$2,063,280"
Malachi Flynn,"$2,048,040"
Cam Thomas,"$2,036,280"
Desmond Bane,"$2,033,160"
Jaden Springer,"$2,023,800"
Day'Ron Sharpe,"$2,009,040"
Jeremiah Robinson-Earl,"$2,000,000"
Killian Tillie,"$2,000,000"
Abdel Nader,"$2,000,000"
Théo Maledon,"$2,000,000"
Kenrich Williams,"$2,000,000"
Santi Aldama,"$1,994,520"
Damian Jones,"$1,977,011"
Wesley Matthews,"$1,958,501"
Rodney McGruder,"$1,939,350"
DeAndre' Bembry,"$1,939,350"
Gary Payton II,"$1,939,350"
Timothé Luwawu-Cabarrot,"$1,939,350"
Damion Lee,"$1,910,860"
Larry Sanders,"$1,865,547"
Shake Milton,"$1,846,738"
Mitchell Robinson,"$1,802,057"
Jalen Brunson,"$1,802,057"
Semi Ojeleye,"$1,789,256"
Malik Monk,"$1,789,256"
Frank Ntilikina,"$1,789,256"
Tony Bradley,"$1,789,256"
Dennis Smith Jr.,"$1,789,256"
Didi Louzada,"$1,786,878"
Daniel Gafford,"$1,782,621"
Terance Mann,"$1,782,621"
Eric Paschall,"$1,782,621"
KZ Okpala,"$1,782,621"
Cody Martin,"$1,782,621"
Nic Claxton,"$1,782,621"
Bruno Fernando,"$1,782,621"
Luguentz Dort,"$1,782,621"
Isaiah Roby,"$1,782,621"
Naz Reid,"$1,782,621"
Jaylen Nowell,"$1,782,621"
Vlatko Čančar,"$1,782,621"
Dean Wade,"$1,782,621"
Jalen McDaniels,"$1,782,621"
Drew Eubanks,"$1,762,796"
Chimezie Metu,"$1,762,796"
Yuta Watanabe,"$1,762,769"
Svi Mykhailiuk,"$1,729,217"
Keita Bates-Diop,"$1,729,217"
Moritz Wagner,"$1,729,217"
Thanasis Antetokounmpo,"$1,729,217"
Isaac Bonga,"$1,729,217"
Isaiah Hartenstein,"$3,430,810"
Juan Toscano-Anderson,"$1,701,593"
Oshae Brissett,"$1,701,593"
Moses Brown,"$1,701,593"
Isaiah Hartenstein,"$3,430,810"
Herbert Jones,"$1,700,000"
Gabriel Deck,"$1,690,507"
Jordan McLaughlin,"$1,669,178"
Javonte Green,"$1,669,178"
Max Strus,"$1,669,178"
Gabe Vincent,"$1,669,178"
Kevin Pangos,"$1,669,178"
Matt Thomas,"$1,669,178"
Xavier Tillman Sr.,"$1,517,981"
Tyrell Terry,"$1,517,981"
Vernon Carey Jr.,"$1,517,981"
Robert Woodard II,"$1,517,981"
Elijah Hughes,"$1,517,981"
Tre Jones,"$1,517,981"
Jahmi'us Ramsey,"$1,517,981"
CJ Elleby,"$1,517,981"
Isaiah Joe,"$1,517,981"
Naji Marshall,"$1,517,981"
Jordan Nwora,"$1,517,981"
Nick Richards,"$1,517,981"
Anthony Gill,"$1,517,981"
Paul Reed,"$1,517,981"
Kenyon Martin Jr.,"$1,517,981"
Jae'Sean Tate,"$1,517,981"
Lamar Stevens,"$1,517,981"
Isaiah Todd,"$1,500,000"
Saben Lee,"$1,489,065"
Omer Yurtseven,"$1,489,065"
Armoni Brooks,"$1,489,065"
J.R. Smith,"$1,456,666"
Danuel House Jr.,"$1,498,955"
Bismack Biyombo,"$1,366,392"
George Hill,"$4,000,000"
DeMarre Carroll,"$1,252,127"
JT Thor,"$1,250,000"
Garrison Mathews,"$1,093,598"
Alfonzo McKinnie,"$1,090,007"
Jabari Parker,"$1,068,288"
Jason Preston,"$1,062,303"
Isaiah Livers,"$1,057,260"
Guerschon Yabusele,"$1,039,080"
Kyle Singler,"$999,200"
Jared Butler,"$925,258"
Greg Brown III,"$925,258"
Miles McBride,"$925,258"
Brandon Boston Jr.,"$925,258"
Marko Simonovic,"$925,258"
Vit Krejci,"$925,258"
Charles Bassey,"$925,258"
Dalano Banton,"$925,258"
Jock Landale,"$925,258"
Ayo Dosunmu,"$925,258"
Denzel Mahoney,"$925,258"
Austin Reaves,"$925,258"
Luka Garza,"$925,258"
Denzel Valentine,"$111,457"
Miye Oni,"$850,331"
Wayne Selden,"$785,102"
Brad Wanamaker,"$705,598"
Alize Johnson,"$705,598"
Shaun Livingston,"$666,666"
Sam Merrill,"$663,024"
DeMarcus Cousins,"$607,285"
Keifer Sykes,"$558,345"
Georgios Kalaitzakis,"$462,629"
Gary Clark,"$377,645"
Sam Dekker,"$350,000"
Admiral Schofield,
Ish Wainright,
Bismack Biyombo,"$1,366,392"
Lance Stephenson,"$138,019"
Lance Stephenson,"$138,019"
Greg Monroe,"$138,019"
Greg Monroe,"$138,019"
Brandon Knight,
Lance Stephenson,"$138,019"
Langston Galloway,"$128,709"
Langston Galloway,"$128,709"
Tyler Johnson,"$128,709"
Tyler Johnson,"$128,709"
Langston Galloway,"$128,709"
James Ennis III,"$128,709"
James Ennis III,"$128,709"
James Ennis III,"$128,709"
Troy Williams,"$122,741"
Stanley Johnson,"$120,083"
Stanley Johnson,"$120,083"
Stanley Johnson,"$120,083"
Marquese Chriss,"$111,457"
Marquese Chriss,"$111,457"
Marquese Chriss,"$111,457"
Denzel Valentine,"$111,457"
Danuel House Jr.,"$1,498,955"
Danuel House Jr.,"$1,498,955"
D.J. Wilson,"$102,831"
D.J. Wilson,"$102,831"
Justin Jackson,"$102,831"
Ryan Arcidiacono,"$102,831"
Justin Jackson,"$102,831"
Alfonzo McKinnie,"$1,090,007"
Alfonzo McKinnie,"$1,090,007"
Jabari Parker,"$1,068,288"
Mamadi Diakite,"$85,578"
Wenyen Gabriel,"$99,380"
Wenyen Gabriel,"$99,380"
Theo Pinson,
Brad Wanamaker,"$705,598"
Alize Johnson,"$705,598"
Brandon Goodwin,
Wenyen Gabriel,"$99,380"
Theo Pinson,
Davon Reed,
Davon Reed,
Chris Silva,"$95,930"
Kyle Guy,"$95,930"
Kyle Guy,"$95,930"
Chris Silva,"$95,930"
Norvel Pelle,"$95,930"
Charlie Brown Jr.,
Chris Silva,"$95,930"
Quinndary Weatherspoon,
Charlie Brown Jr.,
Norvel Pelle,"$95,930"
Davon Reed,
Demetrius Jackson,"$92,857"
Zylan Cheatham,"$89,057"
Mamadi Diakite,"$85,578"
Cassius Stanley,"$85,578"
Cassius Stanley,"$85,578"
Admiral Schofield,
Anthony Lamb,"$85,578"
Emanuel Terry,"$85,578"
Zylan Cheatham,"$89,057"
Tyrell Terry,"$1,517,981"
Admiral Schofield,
Paris Bass,"$53,176"
Paris Bass,"$53,176"
Olivier Sarr,"$53,176"
Olivier Sarr,"$53,176"
Xavier Moon,"$53,176"
Xavier Moon,"$53,176"
Braxton Key,"$53,176"
Jeff Dowtin,"$53,176"
